Epoch	loss	F-Rr	lAUC1	lAUC2	lAUC3	AUC1	AUC2	AUC3
1	2.432374	0.2369	0.3897	0.1702	9.5737	0.4380	0.4113	0.6702
2	0.749406	0.3357	0.5529	0.2410	9.3741	0.5729	0.4774	0.6712
3	0.902737	0.3781	0.7812	0.2494	9.5008	0.6461	0.5300	0.6885
4	0.819118	0.5119	0.9127	0.3557	9.8581	0.6995	0.5718	0.7348
5	0.733241	0.7151	1.3457	0.4869	9.8353	0.7360	0.6002	0.7636
6	0.691833	1.1649	1.7741	0.8672	9.5181	0.7565	0.6220	0.7638
7	0.772044	1.6355	2.7317	1.1671	8.3624	0.7690	0.6442	0.7485
8	0.749089	2.1462	3.6451	1.5208	6.3656	0.7765	0.6515	0.7314
9	0.680212	2.8753	5.1879	1.9888	4.9347	0.7847	0.6704	0.7038
10	0.667036	3.0874	5.8664	2.0950	4.7810	0.7952	0.6800	0.7018
11	0.668444	3.4299	6.4228	2.3397	6.8950	0.8017	0.6896	0.7302
12	0.676383	3.5331	6.4216	2.4369	10.8274	0.8042	0.6934	0.7857
13	0.555150	3.8126	6.6036	2.6799	12.9841	0.8085	0.6974	0.8139
14	0.540037	4.2952	6.5290	3.2003	12.9379	0.8132	0.7096	0.8007
15	0.594365	3.6632	6.4147	2.5636	12.6610	0.8165	0.7076	0.8082
16	0.620220	3.8148	7.1081	2.6070	13.6947	0.8191	0.7061	0.8419
17	0.639381	4.2144	7.2392	2.9724	13.5616	0.8238	0.7147	0.8367
18	0.461906	4.9127	6.9275	3.8058	13.8459	0.8227	0.7178	0.8394
19	0.624594	3.7559	6.9345	2.5754	14.7657	0.8232	0.7159	0.8499
20	0.648472	4.4606	6.8904	3.2977	15.0348	0.8229	0.7247	0.8477
21	0.644446	4.5417	7.2529	3.3059	14.6573	0.8253	0.7218	0.8555
22	0.510112	4.5410	7.2327	3.3094	16.2952	0.8275	0.7264	0.8601
23	0.520144	5.8960	7.6106	4.8119	15.7071	0.8282	0.7365	0.8559
24	0.564165	5.5410	7.3872	4.4330	15.5020	0.8293	0.7379	0.8604
25	0.552284	3.9430	7.1510	2.7219	17.0647	0.8232	0.7297	0.8611
26	0.618844	5.9470	8.0551	4.7134	16.8573	0.8356	0.7445	0.8638
27	0.536470	6.8049	8.1248	5.8540	17.6144	0.8349	0.7514	0.8672
28	0.506544	6.4951	7.8637	5.5322	16.8911	0.8371	0.7514	0.8628
29	0.457640	6.0757	8.0731	4.8707	16.8350	0.8373	0.7520	0.8551
30	0.550025	5.7294	7.8795	4.5011	16.3592	0.8359	0.7424	0.8546
31	0.525381	6.4044	7.8434	5.4116	17.2958	0.8361	0.7585	0.8527
32	0.486856	5.8599	7.1377	4.9702	17.1193	0.8316	0.7567	0.8589
33	0.551630	6.6103	8.0350	5.6148	18.4936	0.8401	0.7576	0.8691
34	0.625739	5.2613	7.1818	4.1513	17.0170	0.8324	0.7471	0.8582
35	0.504485	7.0184	8.3637	6.0459	16.2293	0.8369	0.7607	0.8666
