Epoch	loss	F-Rr	lAUC1	lAUC2	lAUC3	AUC1	AUC2	AUC3
1	2.392774	0.2794	0.2042	0.4420	8.1488	0.4457	0.5113	0.6294
2	0.735040	0.4381	0.3783	0.5205	8.4898	0.5943	0.5739	0.7010
3	0.727639	0.5857	0.5361	0.6455	8.8645	0.6511	0.6108	0.7403
4	0.682145	0.9488	1.1443	0.8104	9.5151	0.6953	0.6281	0.7743
5	0.820394	1.6782	2.1120	1.3922	9.3566	0.7134	0.6284	0.7883
6	0.853486	2.5889	3.6396	2.0090	8.5573	0.7293	0.6376	0.7720
7	0.605125	3.0889	4.7987	2.2774	7.0943	0.7375	0.6537	0.7475
8	0.829600	3.7106	5.0888	2.9198	6.2125	0.7481	0.6678	0.7270
9	0.671243	4.1331	5.6850	3.2468	6.2520	0.7566	0.6773	0.7165
10	0.619798	4.4553	6.0248	3.5345	7.3076	0.7687	0.6815	0.7393
11	0.561601	4.4780	6.1616	3.5170	8.3048	0.7752	0.6879	0.7712
12	0.720925	4.6827	6.2285	3.7516	9.9743	0.7780	0.6935	0.8099
13	0.567645	4.7364	6.3986	3.7597	10.4460	0.7858	0.6994	0.8075
14	0.642553	4.8496	6.6399	3.8197	11.7591	0.7888	0.7019	0.8306
15	0.660046	4.8663	6.3470	3.9458	13.3134	0.7883	0.7037	0.8565
16	0.684257	4.8842	6.5217	3.9040	12.7891	0.7917	0.7099	0.8475
17	0.700522	5.1446	6.7858	4.1427	14.4642	0.7989	0.7131	0.8621
18	0.652772	5.2406	6.7540	4.2812	15.6445	0.7956	0.7210	0.8690
19	0.742394	4.9822	6.7415	3.9511	14.3546	0.7971	0.7154	0.8675
20	0.637143	5.0816	6.6076	4.1282	15.5388	0.8000	0.7220	0.8768
21	0.547483	5.0959	6.5138	4.1849	17.6438	0.8008	0.7242	0.8878
22	0.609812	5.7058	7.6623	4.5452	17.3313	0.8092	0.7340	0.8846
23	0.574911	5.4055	6.9363	4.4282	17.6237	0.8068	0.7392	0.8892
24	0.635553	5.7212	6.7577	4.9604	16.0058	0.8041	0.7427	0.8801
25	0.545863	5.5523	6.6982	4.7412	17.5934	0.8042	0.7393	0.8857
26	0.596016	5.6959	6.8161	4.8920	17.2517	0.8050	0.7463	0.8823
27	0.592420	5.4406	6.6339	4.6112	17.6321	0.8064	0.7490	0.8863
28	0.565826	6.0345	6.9292	5.3444	17.6486	0.8068	0.7555	0.8840
29	0.558555	5.9201	7.0471	5.1038	18.2256	0.8062	0.7535	0.8887
30	0.572867	6.1927	7.2325	5.4143	18.5383	0.8105	0.7606	0.8882
31	0.481152	5.8459	7.1487	4.9448	18.4442	0.8085	0.7576	0.8934
32	0.536097	5.8747	7.3594	4.8884	17.9300	0.8063	0.7634	0.8823
33	0.534542	6.5924	7.6004	5.8204	18.3061	0.8142	0.7672	0.8860
34	0.494614	6.3862	7.3365	5.6538	18.2800	0.8119	0.7666	0.8860
35	0.525236	6.1202	7.3549	5.2405	17.4585	0.8014	0.7659	0.8842
36	0.539001	6.0091	7.2353	5.1383	17.4909	0.8010	0.7648	0.8843
37	0.539675	6.9292	7.7778	6.2476	18.8342	0.8088	0.7696	0.8901
38	0.554866	6.8115	7.4664	6.2622	18.8752	0.8118	0.7727	0.8907
39	0.421515	6.4664	7.2654	5.8258	18.3534	0.8100	0.7776	0.8877
40	0.470619	7.0370	7.6423	6.5205	17.7952	0.8094	0.7857	0.8860
41	0.568699	7.2100	7.8491	6.6670	19.5256	0.8090	0.7825	0.8873
42	0.511551	7.1919	7.6925	6.7525	19.0889	0.8126	0.7843	0.8811
43	0.504074	7.0891	7.6638	6.5947	19.2537	0.8072	0.7845	0.8887
44	0.593957	6.9064	7.4652	6.4254	19.3376	0.8079	0.7817	0.8875
45	0.444398	6.9156	7.2687	6.5952	17.4652	0.8048	0.7805	0.8833
46	0.490306	7.5255	7.7091	7.3504	18.4017	0.8083	0.7856	0.8865
47	0.445632	7.6446	7.8020	7.4934	19.1808	0.8039	0.7892	0.8907
48	0.577493	7.6899	7.9860	7.4149	18.2391	0.8078	0.7949	0.8896
49	0.495366	8.0383	8.4166	7.6925	18.9681	0.8142	0.7976	0.8910
50	0.568995	7.4494	8.1245	6.8780	17.8414	0.8080	0.7884	0.8887
51	0.461855	7.2218	7.8093	6.7165	17.5365	0.8025	0.7940	0.8907
52	0.585595	7.9200	8.0537	7.7907	17.3910	0.8102	0.7949	0.8912
53	0.493587	7.8895	8.0530	7.7326	17.1997	0.8115	0.8013	0.8883
54	0.449605	7.3974	8.0713	6.8274	17.8587	0.8098	0.8001	0.8921
